question_id,question_th,question_en,question_translation_time,evidence_th,evidence_en,evidence_translation_time,difficulty,generated_sql,gold_sql,generation_time_formatted,generation_time_seconds
33,"ถ้ามี มีที่อยู่เว็บไซต์ของโรงเรียนที่มีอาหารฟรีจำนวน 1,900-2,000 สำหรับนักเรียนอายุ 5-17 ปี บ้าง? พร้อมทั้งระบุชื่อโรงเรียน","Are there any school websites offering free meals (approximately 1,900-2,000 portions) for students aged 5-17? Please also provide the school names.",8.226006031036377,,,-1,moderate,SELECT School Name FROM frpm WHERE `Free Meal Count (Ages 5-17)` BETWEEN 1900 AND 2000 AND `Enrollment (Ages 5-17)` > 0 AND `School Name` IS NOT NULL;,"SELECT T2.Website, T1.`School Name` FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Free Meal Count (Ages 5-17)` BETWEEN 1900 AND 2000 AND T2.Website IS NOT NULL",19.03 วินาที,19.031630992889404
34,อัตราฟรีสำหรับนักเรียนอายุระหว่าง 5 ถึง 17 ปีในโรงเรียนที่ดำเนินการโดย Kacey Gibson คือเท่าใด,What is the free rate for students aged 5 to 17 attending schools operated by Kacey Gibson?,5.070146799087524,ราคาฟรีที่มีสิทธิ์สำหรับนักเรียนอายุ 5-17 ปี = `นับมื้ออาหารฟรี (อายุ 5-17 ปี)` / `การลงทะเบียน (อายุ 5-17 ปี)`,Free price eligible for students aged 5-17 = `Number of free meals (ages 5-17)` / `Registrations (ages 5-17)`,6.883509874343872,moderate,SELECT Percent (%) Eligible Free (Ages 5-17) FROM frpm WHERE School Name = 'Kacey Gibson';,SELECT CAST(T2.`Free Meal Count (Ages 5-17)` AS REAL) / T2.`Enrollment (Ages 5-17)` FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.AdmFName1 = 'Kacey' AND T1.AdmLName1 = 'Gibson',15.33 วินาที,15.3268301486969
35,ที่อยู่อีเมลของผู้ดูแลระบบของโรงเรียนเหมาลำที่มีนักเรียนน้อยที่สุดที่ลงทะเบียนเรียนในระดับ 1 ถึง 12 คืออะไร,What is the email address of the system administrator for the school with the fewest registered students in grades 1 to 12?,5.67079496383667,โรงเรียนที่มีแผนภูมิ หมายถึง `โรงเรียนกฎบัตร (ใช่/ไม่มี)` = 1 ในตาราง frpm; นักเรียนที่ลงทะเบียนเรียนในระดับชั้นประถมศึกษาปีที่ 1 ถึงเกรด 12 หมายถึง `การลงทะเบียน (K-12)`,Schools with a chart indicate `Charter School (Yes/No)` = 1 in the frpm table; students enrolled in grades 1 through 12 indicate `K-12 Enrollment`.,7.346224069595337,moderate,SELECT AdmEmail1 FROM schools ORDER BY enroll12 LIMIT 1;,SELECT T2.AdmEmail1 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter School (Y/N)` = 1 ORDER BY T1.`Enrollment (K-12)` ASC LIMIT 1,13.54 วินาที,13.54285216331482
36,"โรงเรียนที่มีจำนวนนักเรียนทำคะแนน SAT ได้ตั้งแต่ 1,500 คนขึ้นไปอยู่ภายใต้การบริหารของใคร ระบุชื่อเต็มของพวกเขา","Schools with a student population achieving SAT scores of 1,500 or higher – who administers these institutions? Provide their full names.",5.991775035858154,ชื่อเต็ม หมายถึง ชื่อ นามสกุล; แต่ละโรงเรียนมีผู้บริหารสูงสุด 3 คน คะแนน SAT มากกว่าหรือเท่ากับ 1500 หมายถึง NumGE1500,Full name refers to first name and last name; each school has a maximum of 3 senior administrators. A SAT score of 1500 or greater indicates NumGE1500.,7.3850250244140625,challenging,"SELECT AdmFName1 || ' ' || AdmLName1, AdmFName2 || ' ' || AdmLName2, AdmFName3 || ' ' || AdmLName3 FROM satscores INNER JOIN schools ON satscores.cds = schools.CDSCode WHERE NumGE1500 > 0;","SELECT T2.AdmFName1, T2.AdmLName1, T2.AdmFName2, T2.AdmLName2, T2.AdmFName3, T2.AdmLName3 FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1",21.01 วินาที,21.01284098625183
37,ที่อยู่ที่สมบูรณ์ของโรงเรียนที่มีอัตราความเป็นเลิศต่ำที่สุดคืออะไร? ระบุถนน เมือง รหัสไปรษณีย์ และรัฐ,"What is the complete address of the school with the lowest performance rate? Specify street, city, postal code, and state.",5.530066967010498,อัตราความเป็นเลิศ = NumGE1500 / NumTstTakr; ที่อยู่ที่สมบูรณ์มีถนน เมือง รัฐ รหัสไปรษณีย์,"Excellence Rate = NumGE1500 / NumTstTakr; Complete address includes street, city, state, and postal code.",5.976679086685181,moderate,"SELECT Street, City, Zip, State FROM schools ORDER BY NumGE1500 / NumTstTakr ASC LIMIT 1;","SELECT T2.Street, T2.City, T2.State, T2.Zip FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY CAST(T1.NumGE1500 AS REAL) / T1.NumTstTakr ASC LIMIT 1",15.70 วินาที,15.69974684715271
38,"เว็บเพจของโรงเรียน Los Angeles County ที่มีผู้สอบระหว่าง 2,000 ถึง 3,000 คนมีอะไรบ้าง","What features exist on the Los Angeles County school website that accommodates 2,000 to 3,000 users?",5.827043056488037,,,-1,simple,SELECT Website FROM schools WHERE County = 'Los Angeles' AND Enrollment (K-12) BETWEEN 2000 AND 3000;,SELECT T2.Website FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T1.NumTstTakr BETWEEN 2000 AND 3000 AND T2.County = 'Los Angeles',15.78 วินาที,15.779097080230713
39,จำนวนผู้สอบโดยเฉลี่ยจากโรงเรียนเฟรสโนที่เปิดระหว่าง 1/1/1980 ถึง 12/31/1980 คือเท่าใด,What is the average number of examinees from Fresno schools open between 1/1/1980 and 12/31/1980?,7.000584840774536,ระหว่างวันที่ 1/1/2523 ถึง 12/31/2523 หมายถึง ปี = 2523,"From January 1, 1980 to December 31, 2023 refers to the year = 1980.",5.791687965393066,simple,SELECT avg(NumTstTakr) FROM satscores WHERE cds IN (SELECT CDSCode FROM frpm WHERE County Name = 'Fresno' AND Academic Year = 1980) AND rtype = 'H';,"SELECT AVG(T1.NumTstTakr) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE strftime('%Y', T2.OpenDate) = '1980' AND T2.County = 'Fresno'",18.79 วินาที,18.786818027496338
40,หมายเลขโทรศัพท์ของโรงเรียนที่มีคะแนนเฉลี่ยการอ่านต่ำสุดใน Fresno Unified คืออะไร?,What is the telephone number of the school with the lowest average reading score in Fresno Unified?,4.532765865325928,Fresno Unified เป็นชื่อของเขต;,Fresno Unified is the name of the district.,2.4631168842315674,moderate,SELECT Phone FROM satscores WHERE dname = 'Fresno Unified' ORDER BY AvgScrRead ASC LIMIT 1;,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.District = 'Fresno Unified' AND T1.AvgScrRead IS NOT NULL ORDER BY T1.AvgScrRead ASC LIMIT 1,14.40 วินาที,14.397845983505249
41,รายชื่อโรงเรียนเสมือนที่อยู่ใน 5 อันดับแรกในมณฑลของตน โดยพิจารณาจากคะแนนการอ่านโดยเฉลี่ย,"Top-ranked virtual schools in their respective provinces, based on average reading scores.",4.212054014205933,เสมือนโดยเฉพาะหมายถึง Virtual = 'F'; มณฑลที่เกี่ยวข้องหมายถึงการแบ่งตามมณฑล,"Virtual, specifically, means Virtual = 'F'; Related Province means provincial segmentation.",3.3562419414520264,simple,SELECT sname FROM satscores WHERE rtype = 'H' AND Virtual = 'F' ORDER BY AvgScrRead DESC LIMIT 20;,"SELECT School FROM (SELECT T2.School,T1.AvgScrRead, RANK() OVER (PARTITION BY T2.County ORDER BY T1.AvgScrRead DESC) AS rnk FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' ) ranked_schools WHERE rnk <= 5",15.45 วินาที,15.451622009277344
42,ประเภทของการศึกษาที่เปิดสอนในโรงเรียนที่ทำคะแนนเฉลี่ยสูงสุดในวิชาคณิตศาสตร์คืออะไร?,What types of educational programs are offered at schools with the highest average math scores?,4.2199060916900635,,,-1,simple,SELECT T1.EdOpsName FROM frpm AS T1 JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY T2.AvgScrMath DESC LIMIT 100;,SELECT T2.EdOpsName FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrMath DESC LIMIT 1,17.64 วินาที,17.63708996772766
43,คะแนนเฉลี่ยคณิตศาสตร์ของโรงเรียนที่มีคะแนนเฉลี่ยต่ำที่สุดสำหรับทุกวิชาคือเท่าใด และตั้งอยู่ในเขตใด,"What is the average mathematics score of the school with the lowest average score across all subjects, and in which district is it located?",5.704161167144775,คะแนนเฉลี่ยของทุกวิชาสามารถคำนวณโดย AvgScrMath + AvgScrRead + AvgScrWrite,The average score across all subjects can be calculated as AvgScrMath + AvgScrRead + AvgScrWrite.,4.244439125061035,moderate,"SELECT satscores.AvgScrMath, satscores.dname FROM satscores ORDER BY (satscores.AvgScrRead + satscores.AvgScrMath + satscores.AvgScrWrite) ASC LIMIT 1;","SELECT T1.AvgScrMath, T2.County FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath IS NOT NULL ORDER BY T1.AvgScrMath + T1.AvgScrRead + T1.AvgScrWrite ASC LIMIT 1",18.20 วินาที,18.204012155532837
44,"คะแนนการเขียนเฉลี่ยของโรงเรียนที่มีจำนวนผู้เข้าสอบมากที่สุดซึ่งมีคะแนน SAT รวมมากกว่าหรือเท่ากับ 1,500 เป็นเท่าใด ระบุเมืองที่โรงเรียนตั้งอยู่","What is the average writing score of schools with the highest number of test-takers that have a combined SAT score of 1,500 or greater? Identify the city where the schools are located.",8.668834209442139,,,-1,simple,"SELECT AVG(AvgScrWrite), City FROM satscores WHERE NumGE1500 = (SELECT MAX(NumGE1500) FROM satscores);","SELECT T1.AvgScrWrite, T2.City FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1",16.26 วินาที,16.26142120361328
45,คะแนนการเขียนเฉลี่ยของแต่ละโรงเรียนที่บริหารโดย Ricci Ulrich เป็นเท่าใด รายชื่อโรงเรียนและคะแนนการเขียนโดยเฉลี่ยที่เกี่ยวข้อง,What is the average writing score for each school managed by Ricci Ulrich? A list of schools and their corresponding average writing scores is required.,5.860998868942261,โดยปกติแล้ว ผู้บริหารจะจัดการเรื่องของโรงเรียน,"Typically, management handles school matters.",2.0086829662323,moderate,"SELECT s.School, AVG(satscores.AvgScrWrite) FROM satscores JOIN schools s ON satscores.cds = s.CDSCode WHERE s.AdmFName1 = 'Ricci' AND s.AdmLastName1 = 'Ulrich' GROUP BY s.School;","SELECT T2.School, T1.AvgScrWrite FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.AdmFName1 = 'Ricci' AND T2.AdmLName1 = 'Ulrich'",19.64 วินาที,19.635984897613525
46,โรงเรียนพิเศษของรัฐใดมีจำนวนผู้ลงทะเบียนตั้งแต่เกรด 1 ถึงเกรด 12 มากที่สุด,Which state-run special schools have the highest number of registered students from grades 1 to 12?,5.092211008071899,โรงเรียนพิเศษของรัฐ หมายถึง DOC = 31; เกรด 1 ถึง 12 หมายถึง K-12,State-run special school means DOC = 31; Grades 1 to 12 means K-12,4.514711856842041,simple,"SELECT frpm.School Name FROM frpm WHERE frpm.DOC = 31 ORDER BY frpm.""Enrollment (K-12)"" DESC LIMIT 1;",SELECT T2.School FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.DOC = 31 ORDER BY T1.`Enrollment (K-12)` DESC LIMIT 1,16.69 วินาที,16.69470524787903
47,จำนวนโรงเรียนโดยเฉลี่ยต่อเดือนที่เปิดในเขตอาลาเมดาภายใต้เขตอำนาจของเขตการศึกษาประถมศึกษาในปี 1980 คือเท่าใด,What was the average number of schools opened per month in Alameda County under the jurisdiction of the elementary education district in 1980?,6.046152353286743,เขตการศึกษาประถมศึกษา หมายถึง DOC = 52; จำนวนโรงเรียนเฉลี่ยต่อเดือนที่เปิดในปี 2523 = จำนวน(โรงเรียนที่เปิดในปี 2523) / 12,Educational Zone (Primary) refers to DOC = 52; Average number of schools opened per month in 1983 = Number(schools opened in 1983) / 12,7.568652868270874,moderate,"SELECT CAST(COUNT(T1.CDSCode) / 12 AS DECIMAL(10,2)) FROM schools AS T1 WHERE T1.County = 'Alameda' AND STRFTIME('%Y', T1.OpenDate) = '1980' AND T1.DOC IN (SELECT DOC FROM frpm WHERE County Name = 'Alameda' AND District Type = 'Elementary Education District');","SELECT CAST(COUNT(School) AS REAL) / 12 FROM schools WHERE DOC = 52 AND County = 'Alameda' AND strftime('%Y', OpenDate) = '1980'",24.85 วินาที,24.851691007614136
48,อัตราส่วนของโรงเรียน Unified School District ที่รวมใน Orange County กับโรงเรียน Elementary School District ที่รวมเข้าด้วยกันคือเท่าใด,What is the ratio of schools included in the Unified School District to those included in the Elementary School District in Orange County?,5.375450134277344,เขตการศึกษาประถมศึกษา หมายถึง DOC = 52; Unified School District อ้างอิงถึง DOC = 54,Educational Zone for Primary Education refers to DOC = 52; Unified School District refers to DOC = 54.,4.5315070152282715,moderate,SELECT CAST(SUM(CASE WHEN DOC = 54 THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN DOC = 52 THEN 1 ELSE 0 END) FROM frpm WHERE County Name = 'Orange';,SELECT CAST(SUM(CASE WHEN DOC = 54 THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN DOC = 52 THEN 1 ELSE 0 END) FROM schools WHERE StatusType = 'Merged' AND County = 'Orange',19.48 วินาที,19.48102378845215
49,จังหวัดใดมีจำนวนโรงเรียนปิดมากที่สุด? กรุณาระบุชื่อของแต่ละโรงเรียนและวันที่ปิดทำการ,Which province has the highest number of school closures? Please list the name of each school and the closure date.,4.892843961715698,วันที่ปิดและวันที่ปิดเป็นคำพ้องความหมาย 'ปิด' ถูกกล่าวถึงใน school.StatusType,The close date and closure date are synonyms. 'Close' is referenced in school.StatusType.,4.035461187362671,moderate,"SELECT School, ClosedDate FROM schools WHERE StatusType = 'Closed' ORDER BY ClosedDate DESC LIMIT 1;","SELECT DISTINCT County, School, ClosedDate FROM schools WHERE County = ( SELECT County FROM schools WHERE StatusType = 'Closed' GROUP BY County ORDER BY COUNT(School) DESC LIMIT 1 ) AND StatusType = 'Closed' AND school IS NOT NULL",13.94 วินาที,13.94277024269104
50,ที่อยู่ทางไปรษณีย์ของโรงเรียนที่มีคะแนนเฉลี่ยคณิตศาสตร์สูงสุดอันดับที่ 7 คืออะไร ระบุชื่อโรงเรียน,"What is the postal address of the school with the highest average mathematics score, ranked 7th? Please identify the school's name.",5.685603141784668,ถนนไปรษณีย์และถนนส่งไปรษณีย์เป็นคำพ้องความหมาย,Postal Road and Mailing Road are synonymous.,2.0282039642333984,simple,SELECT School FROM schools ORDER BY (SELECT AvgScrMath FROM satscores WHERE satscores.cds = schools.CDSCode) DESC LIMIT 1 OFFSET 6;,"SELECT T2.MailStreet, T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrMath DESC LIMIT 6, 1",14.92 วินาที,14.924891948699951
51,ที่อยู่ทางไปรษณีย์ใดที่คุณสามารถหาโรงเรียนที่มีคะแนนเฉลี่ยในการอ่านต่ำที่สุดได้ แจ้งชื่อโรงเรียนด้วย,Which postal address can be used to locate schools with the lowest average reading scores? Please provide the school names as well.,5.162822246551514,,,-1,simple,"SELECT s.Street, s.City, s.Zip, s.School FROM schools s JOIN satscores sa ON s.CDSCode = sa.cds ORDER BY sa.AvgScrRead ASC LIMIT 20;","SELECT T2.MailStreet, T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrRead IS NOT NULL ORDER BY T1.AvgScrRead ASC LIMIT 1",17.04 วินาที,17.03670883178711
52,"จำนวนโรงเรียนทั้งหมดที่มีคะแนน SAT รวมมากกว่าหรือเท่ากับ 1,500 ซึ่งมีเมืองส่งไปรษณีย์คือ Lakeport คือเท่าใด","What is the number of schools with a total SAT score of 1,500 or greater that have a mailing city of Lakeport?",5.865408182144165,คะแนน SAT ทั้งหมดสามารถคำนวณได้โดย AvgScrRead + AvgScrMath + AvgScrWrite,The total SAT score can be calculated as AvgScrRead + AvgScrMath + AvgScrWrite.,3.728661060333252,simple,SELECT count(*) FROM satscores WHERE (AvgScrRead + AvgScrMath + AvgScrWrite) >= 1500 AND dname = 'Lakeport';,SELECT COUNT(T1.cds) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.MailCity = 'Lakeport' AND (T1.AvgScrRead + T1.AvgScrMath + T1.AvgScrWrite) >= 1500,15.65 วินาที,15.654846906661987
53,มีผู้สอบจำนวนกี่คนที่โรงเรียนซึ่งมีที่อยู่ทางไปรษณีย์อยู่ในเฟรสโน,How many auditors are associated with the school with a postal address in Fresno?,3.816283941268921,,,-1,simple,SELECT COUNT(*) FROM schools WHERE MailCity = 'Fresno' AND StatusType = 'Auditor';,SELECT T1.NumTstTakr FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.MailCity = 'Fresno',13.22 วินาที,13.22202181816101
54,โปรดระบุโรงเรียนทั้งหมดและรหัสไปรษณีย์ที่เกี่ยวข้องซึ่งอยู่ภายใต้การบริหารของ Avetik Atoian,Please specify all schools and associated postal codes administered by Avetik Atoian.,3.827087163925171,,,-1,simple,"SELECT T1.School, T1.Zip FROM schools AS T1 WHERE T1.School LIKE '%Avetik Atoian%';","SELECT School, MailZip FROM schools WHERE AdmFName1 = 'Avetik' AND AdmLName1 = 'Atoian'",14.07 วินาที,14.072260856628418
55,ในบรรดาโรงเรียนที่มีที่อยู่ทางไปรษณีย์ในรัฐแคลิฟอร์เนีย อัตราส่วนของโรงเรียนที่ตั้งอยู่ในเขต Colusa กับโรงเรียนที่ตั้งอยู่ในเขต Humboldt เป็นเท่าใด,What is the ratio of schools located in Colusa County to schools located in Humboldt County among schools with postal addresses in the state of California?,6.023437976837158,Ratio = จำนวน(โรงเรียนใน Colusa) / จำนวน(โรงเรียนใน Humboldt),Ratio = Count(Schools in Colusa) / Count(Schools in Humboldt),3.1397809982299805,moderate,SELECT CAST(COUNT(CASE WHEN `County` = 'Colusa' THEN 1 END) AS REAL) / CAST(COUNT(CASE WHEN `County` = 'Humboldt' THEN 1 END) AS REAL) FROM schools WHERE `MailState` = 'CA';,SELECT CAST(SUM(CASE WHEN County = 'Colusa' THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN County = 'Humboldt' THEN 1 ELSE 0 END) FROM schools WHERE MailState = 'CA',18.85 วินาที,18.849626064300537
56,ในบรรดาโรงเรียนทั้งหมดที่มีที่อยู่ทางไปรษณีย์ในรัฐแคลิฟอร์เนีย มีโรงเรียนกี่แห่งที่เปิดดำเนินการในเมือง San Joaquin,"Of all schools with mailing addresses in the state of California, how many are actively operating in the San Joaquin County?",4.920230865478516,,,-1,simple,SELECT COUNT(CDSCode) FROM schools WHERE MailState = 'CA' AND County = 'San Joaquin County' AND StatusType = 'Active';,SELECT COUNT(CDSCode) FROM schools WHERE City = 'San Joaquin' AND MailState = 'CA' AND StatusType = 'Active',14.37 วินาที,14.36846113204956
57,หมายเลขโทรศัพท์และหมายเลขต่อพ่วงของโรงเรียนที่มีคะแนนการเขียนเฉลี่ยสูงสุดอันดับที่ 333 คืออะไร?,"What are the telephone number and associated identifiers of the school with the highest average writing score, ranked 333rd?",5.281145811080933,,,-1,simple,"SELECT Phone, CDSCode FROM satscores ORDER BY AvgScrWrite DESC LIMIT 1 OFFSET 332;","SELECT T2.Phone, T2.Ext FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrWrite DESC LIMIT 332, 1",13.37 วินาที,13.365465879440308
58,หมายเลขโทรศัพท์และหมายเลขต่อขยายของโรงเรียนที่มีรหัสไปรษณีย์ 95203-3704 คืออะไร? ระบุชื่อโรงเรียน,What are the telephone numbers and extensions for schools with postal codes 95203-3704? Please specify the school names.,5.901281118392944,,,-1,simple,"SELECT School, Phone, Ext FROM schools WHERE Zip = '95203-3704';","SELECT Phone, Ext, School FROM schools WHERE Zip = '95203-3704'",13.51 วินาที,13.513154029846191
59,เว็บไซต์สำหรับโรงเรียนภายใต้การบริหารของ Mike Larson และ Dante Alvarez คืออะไร?,What is the website for schools under the administration of Mike Larson and Dante Alvarez?,3.9436206817626953,,,-1,simple,SELECT Website FROM schools WHERE AdmFName1 = 'Mike' AND AdmLName1 = 'Larson' OR AdmFName1 = 'Dante' AND AdmLName1 = 'Alvarez';,SELECT Website FROM schools WHERE (AdmFName1 = 'Mike' AND AdmLName1 = 'Larson') OR (AdmFName1 = 'Dante' AND AdmLName1 = 'Alvarez'),16.05 วินาที,16.052890062332153
60,เว็บไซต์ของโรงเรียนเช่าเหมาลำเสมือนบางส่วนทั้งหมดที่ตั้งอยู่ใน San Joaquin คืออะไร,What is the leased virtual domain of the school’s website located in San Joaquin?,4.0875349044799805,Virtual = 'P' หมายถึงเสมือนบางส่วน โรงเรียนกฎบัตรหมายถึงกฎบัตร = 1 ในโรงเรียนตาราง,Virtual = 'P' means partially virtual; charter school means charter = 1 in the schedule table.,3.8432750701904297,simple,SELECT Website FROM schools WHERE County = 'San Joaquin' AND Virtual = 'P';,SELECT Website FROM schools WHERE County = 'San Joaquin' AND Virtual = 'P' AND Charter = 1,12.70 วินาที,12.698990106582642
61,มีโรงเรียนเหมาลำจำนวนกี่แห่งที่ตั้งอยู่ในเมืองฮิคแมนที่เป็นของเขตการศึกษาประถมศึกษา,"How many contracted schools are located in Hickman, which is part of the elementary school district?",4.2375500202178955,เขตการศึกษาประถมศึกษา หมายถึง DOC = 52; โรงเรียนเหมาลำอ้างถึงกฎบัตร = 1 ในโรงเรียนแบบตาราง,Educational Zone: Elementary = DOC = 52; School contract refers to charter = 1 in tabular school.,4.104496002197266,simple,SELECT COUNT(*) FROM frpm WHERE District Name = 'Hickman' AND `District Type` = 'Elementary';,SELECT COUNT(School) FROM schools WHERE DOC = 52 AND Charter = 1 AND City = 'Hickman',13.70 วินาที,13.699395179748535
62,จำนวนโรงเรียนที่ไม่เช่าเหมาลำในเขตลอสแอนเจลิสทั้งหมดที่มีเปอร์เซ็นต์ (%) ของอาหารฟรีที่เข้าเกณฑ์สำหรับเกรด 1 ถึง 12 ที่น้อยกว่า 0.18% คือเท่าใด,What is the count of schools in the Los Angeles district that do not have exclusive leases and have a percentage (%) of free meals eligible for grades 1 through 12 that is less than 0.18%?,8.379267930984497,โรงเรียนที่ไม่มีการเช่าเหมาลำหมายถึงโรงเรียนที่มีกฎบัตร = 0; K-12 หมายถึงเกรด 1 ถึง 12; เปอร์เซ็นต์ของอัตราฟรีที่มีสิทธิ์สำหรับ K-12 = `จำนวนมื้ออาหารฟรี (K-12)` * 100 / `การลงทะเบียน (K-12)`,Schools with no contracted management refer to schools with charter = 0; K-12 refers to grades 1 through 12; Percentage of eligible free rate for K-12 = `Free Meal Count (K-12)` * 100 / `Enrollment (K-12)`,10.62674617767334,challenging,SELECT count(*) FROM frpm WHERE County Name = 'Los Angeles' AND `Percent (%) Eligible Free (K-12)` < 0.0018;,SELECT COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Los Angeles' AND T2.Charter = 0 AND CAST(T1.`Free Meal Count (K-12)` AS REAL) * 100 / T1.`Enrollment (K-12)` < 0.18,16.50 วินาที,16.500943183898926
63,ในโรงเรียนเหมาลำที่มีกฎบัตรหมายเลข 00D2 ผู้บริหารทั้งหมดชื่ออะไร รวมชื่อโรงเรียนและเมืองที่สังกัด,"In the contracted school with charter number 00D2, what are the names of all administrators, including the school name and affiliated district?",5.736781120300293,โรงเรียนเหมาลำอ้างถึงกฎบัตร = 1 ในโรงเรียนแบบตาราง ชื่อเต็ม หมายถึง ชื่อ นามสกุล,Contracted schools refer to the charter = 1 in tabular schools. Full name means first name and last name.,4.2376909255981445,simple,"SELECT School Name, District Name, AdmFName1 || ' ' || AdmLName1, AdmFName2 || ' ' || AdmLName2, AdmFName3 || ' ' || AdmLName3 FROM frpm WHERE Charter School (Y/N) = 'Y' AND Charter School Number = '00D2';","SELECT AdmFName1, AdmLName1, School, City FROM schools WHERE Charter = 1 AND CharterNum = '00D2'",20.47 วินาที,20.46578598022461
64,จำนวนโรงเรียนทั้งหมดที่มีเมืองส่งไปรษณีย์ใน Hickman อยู่ภายใต้กฎบัตรหมายเลข 00D4 คือเท่าใด,What is the total number of schools with postal code locations in Hickman that operate under charter number 00D4?,5.0722057819366455,,,-1,simple,SELECT COUNT(*) FROM schools WHERE MailZip = 'Hickman' AND CharterNum = '00D4';,SELECT COUNT(*) FROM schools WHERE CharterNum = '00D4' AND MailCity = 'Hickman',13.52 วินาที,13.516017198562622
65,อัตราส่วนเป็นเปอร์เซ็นต์ของโรงเรียนซานตาคลาราเคาน์ตี้ที่ได้รับทุนสนับสนุนในท้องถิ่นเมื่อเปรียบเทียบกับเงินทุนสำหรับโรงเรียนเช่าเหมาลำประเภทอื่นทั้งหมดคือเท่าใด,What is the percentage ratio of Santa Clara County schools receiving local funding compared to funding for all other types of leased facilities?,5.478817939758301,อัตราส่วนเป็นเปอร์เซ็นต์ = (จำนวน (โรงเรียนที่ได้รับทุนสนับสนุนในท้องถิ่นในซานตาคลารา) / จำนวน (โรงเรียนประเภทเงินทุนทั้งหมดในซานตาคลารา) * 100%,Percentage ratio = (Number (of schools receiving local funding in Santa Clara) / Number (of total funded schools in Santa Clara) * 100%,5.819669961929321,moderate,SELECT CAST(SUM(CASE WHEN `FundingType` = 'Leased' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(*) FROM schools WHERE County = 'Santa Clara';,SELECT CAST(SUM(CASE WHEN FundingType = 'Locally funded' THEN 1 ELSE 0 END) AS REAL) * 100 / SUM(CASE WHEN FundingType != 'Locally funded' THEN 1 ELSE 0 END) FROM schools WHERE County = 'Santa Clara' AND Charter = 1,16.98 วินาที,16.97904109954834
66,ระหว่างวันที่ 1/1/2000 ถึง 31/12/2005 มีโรงเรียนที่ได้รับทุนสนับสนุนโดยตรงกี่แห่งที่เปิดดำเนินการในเขตสตานิสลอส,"Between January 1, 2000, and December 31, 2005, how many schools receiving direct funding were operational in the Stanislaus County?",7.2535080909729,โรงเรียนที่ได้รับทุนโดยตรงหมายถึง FundingType = 'ได้รับทุนโดยตรง',Schools that receive funding directly refer to FundingType = 'Directly Funded'.,3.041692018508911,simple,SELECT count(*) FROM schools WHERE StatusType = 'Active' AND County = 'Stanislaus' AND FundingType = 'Directly Funded' AND OpenDate BETWEEN '2000-01-01' AND '2005-12-31';,"SELECT COUNT(School) FROM schools WHERE strftime('%Y', OpenDate) BETWEEN '2000' AND '2005' AND County = 'Stanislaus' AND FundingType = 'Directly funded'",19.05 วินาที,19.054290056228638
